GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.entity.auth,Auth,21,8,0,0,2,2,2,1,2,1
bookstore,com.nhnacademy.bookstore.entity.auth,QAuth,81,0,0,0,10,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,ReadTagRequest.ReadTagRequestBuilder,45,0,0,0,1,0,7,0,7,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,ReadBookIdRequest.ReadBookIdRequestBuilder,18,0,0,0,1,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,CreateBookTagRequest,13,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,ReadTagRequest,4,15,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,ReadBookIdRequest,4,6,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.request,CreateBookTagRequest.CreateBookTagRequestBuilder,27,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.tag.service.Impl,TagServiceImpl,47,62,5,3,12,13,5,4,1,4
bookstore,com.nhnacademy.bookstore.purchase.purchase.exception,PurchaseDoesNotExistException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.purchase.purchase.exception,PurchaseFormArgumentErrorException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.purchase.purchase.exception,PurchaseAlreadyExistException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.purchase.purchase.exception,PurchaseNoAuthorizationException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.simpleReview,QSimpleReview,85,0,2,0,17,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.entity.simpleReview,SimpleReview,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.category,Category.CategoryBuilder,31,46,2,2,0,1,5,5,3,5
bookstore,com.nhnacademy.bookstore.entity.category,QCategory,18,71,0,2,4,13,2,5,2,4
bookstore,com.nhnacademy.bookstore.entity.category,Category,16,67,1,1,4,13,4,11,3,11
bookstore,com.nhnacademy.bookstore.entity.review,QReview,137,0,2,0,25,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.entity.review,Review,0,18,0,0,0,4,0,1,0,1
bookstore,com.nhnacademy.bookstore.member.member.dto.request,UpdateMemberRequest.UpdateMemberRequestBuilder,64,0,0,0,1,0,9,0,9,0
bookstore,com.nhnacademy.bookstore.member.member.dto.request,UpdateMemberRequest,25,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.member.member.dto.request,CreateMemberRequest,0,25,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.member.member.dto.request,CreateMemberRequest.CreateMemberRequestBuilder,15,49,0,0,0,1,1,8,1,8
bookstore,com.nhnacademy.bookstore.member.auth.service,AuthService,11,6,0,0,3,1,2,1,2,1
bookstore,com.nhnacademy.bookstore.member.address.dto.request,CreateAddressRequest,28,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.member.address.dto.request,UpdateAddressRequest,25,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.member.address.dto.request,AddressResponse,25,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.member.address.dto.request,AddressResponse.AddressResponseBuilder,63,0,0,0,1,0,9,0,9,0
bookstore,com.nhnacademy.bookstore.member.address.dto.request,UpdateAddressRequest.UpdateAddressRequestBuilder,63,0,0,0,1,0,9,0,9,0
bookstore,com.nhnacademy.bookstore.member.address.dto.request,CreateAddressRequest.CreateAddressRequestBuilder,72,0,0,0,1,0,10,0,10,0
bookstore,com.nhnacademy.bookstore.entity.reviewImage,ReviewImage,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.reviewImage,QReviewImage,73,0,2,0,15,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.book.tag.exception,DeleteTagRequestFormException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.tag.exception,UpdateTagRequestFormException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.tag.exception,CreateTagRequestFormException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.tag.exception,NotExistsTagException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.tag.exception,AlreadyHaveTagException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.member.address.dto.response,UpdateAddressResponse,13,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.member.address.dto.response,UpdateAddressResponse.UpdateAddressResponseBuilder,27,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.response,BookCategoryResponse,13,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.response,CategoryBooksResponse,15,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.response,BookCategoriesResponse,4,6,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.response,BookCategoryResponse.BookCategoryResponseBuilder,29,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.response,BookCategoriesResponse.BookCategoriesResponseBuilder,18,0,0,0,1,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.book.image.exception,FailUploadImageException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.image.exception,NotFindImageException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.paymentType,QPaymentType,57,0,0,0,9,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.entity.paymentType,PaymentType,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.purchase,QPurchase,144,0,4,0,25,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.entity.purchase,Purchase,127,102,3,1,8,28,19,14,17,14
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.request,CreateBookCategoryRequest.CreateBookCategoryRequestBuilder,28,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.request,UpdateBookCategoryRequest,4,9,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.request,UpdateBookCategoryRequest.UpdateBookCategoryRequestBuilder,28,0,0,0,1,0,5,0,5,0
